Feature,pearson_r,p_value_raw,p_value_bonferroni,CI_95_lower,CI_95_upper,effect_size_magnitude,significant_original,significant_bonferroni
age,-0.22932355126761092,1.0677220241598076e-13,1.3880386314077498e-12,-0.28815104896187366,-0.17161074260099354,Small,Yes,Yes
sex,-0.2795007572922631,7.523831193728161e-20,9.78098055184661e-19,-0.3378714008963146,-0.21889857350824052,Small,Yes,Yes
cp,0.4348542500527365,1.563205763382811e-48,2.0321674923976544e-47,0.3800169836422722,0.4864074630418613,Medium,Yes,Yes
trestbps,-0.13877173373730095,8.233014978866e-06,0.000107029194725258,-0.1915307413083545,-0.08202051906051885,Small,Yes,Yes
chol,-0.09996559423254107,0.0013525712504627416,0.017583426256015642,-0.1613572492714937,-0.033150255074885435,Negligible,Yes,Yes
fbs,-0.04116354746465111,0.18789674942248935,1.0,-0.10022006902449328,0.029686574837981292,Negligible,No,No
restecg,0.13446820873908877,1.5641034328732428e-05,0.00020333344627352157,0.07140027910341859,0.1956658444289245,Small,Yes,Yes
thalach,0.42289549648287084,9.962970840354021e-46,1.2951862092460228e-44,0.3712398258466839,0.4713686751937968,Medium,Yes,Yes
exang,-0.43802855005584623,2.6949316902696663e-49,3.503411197350566e-48,-0.4882198930807394,-0.38384158822803216,Medium,Yes,Yes
oldpeak,-0.4384412701119445,2.1413380381325065e-49,2.7837394495722585e-48,-0.4806506610088603,-0.3918538496089156,Medium,Yes,Yes
slope,0.34551175143599855,4.12205348339382e-30,5.358669528411966e-29,0.2879292360626632,0.4022858808406021,Medium,Yes,Yes
ca,-0.3820852890386707,5.699148415151362e-37,7.408892939696771e-36,-0.44175417751478346,-0.32647829703715286,Medium,Yes,Yes
thal,-0.3378381504571863,8.781191683224652e-29,1.1415549188192048e-27,-0.4059970374637277,-0.27706456773542754,Medium,Yes,Yes
